date_administered,administering_provider_type,new_primary_series_doses,new_recipients,new_series_completed,new_booster_doses,new_booster_recipients,new_2nd_booster_recipients,new_bivalent_booster_doses,new_bivalent_booster_recipients,cumulative_primary_series_doses,cumulative_recipients,cumulative_series_completed,cumulative_booster_doses,cumulative_booster_recipients,cumulative_2nd_booster_recipients,cumulative_bivalent_booster_doses,cumulative_bivalent_booster_recipients,data_as_of,data_updated_at,data_loaded_at
2020/12/11,All Providers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/12,All Providers,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/13,All Providers,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/14,All Providers,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/15,All Providers,13,13,0,0,0,0,0,0,15,15,0,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/16,All Providers,229,229,0,0,0,0,0,0,244,244,0,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/17,All Providers,417,417,0,0,0,0,0,0,661,661,0,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/18,All Providers,942,942,1,0,0,0,0,0,1603,1603,1,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/19,All Providers,650,650,0,0,0,0,0,0,2253,2253,1,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/20,All Providers,499,499,2,0,0,0,0,0,2752,2752,3,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/21,All Providers,1189,1189,1,0,0,0,0,0,3941,3941,4,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/22,All Providers,1414,1414,1,0,0,0,0,0,5355,5355,5,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/23,All Providers,1453,1453,7,0,0,0,0,0,6808,6808,12,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/24,All Providers,877,877,1,0,0,0,0,0,7685,7685,13,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/25,All Providers,47,47,0,0,0,0,0,0,7732,7732,13,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/26,All Providers,274,274,0,0,0,0,0,0,8006,8006,13,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/27,All Providers,294,294,1,0,0,0,0,0,8300,8300,14,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/28,All Providers,1273,1273,6,0,0,0,0,0,9573,9573,20,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/29,All Providers,1416,1416,3,0,0,0,0,0,10989,10989,23,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/30,All Providers,1661,1661,5,0,0,0,0,0,12650,12650,28,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2020/12/31,All Providers,1063,1063,0,0,0,0,0,0,13713,13713,28,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/01,All Providers,97,97,2,0,0,0,0,0,13810,13810,30,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/02,All Providers,383,383,2,0,0,0,0,0,14193,14193,32,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/03,All Providers,315,315,0,0,0,0,0,0,14508,14508,32,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/04,All Providers,1856,1835,23,0,0,0,0,0,16364,16343,55,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/05,All Providers,2205,2150,56,0,0,0,0,0,18569,18493,111,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/06,All Providers,1894,1614,281,0,0,0,0,0,20463,20107,392,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/07,All Providers,2112,1613,502,0,0,0,0,0,22575,21720,894,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/08,All Providers,2381,1479,904,0,0,0,0,0,24956,23199,1798,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
