Year,Airport,AirCarrier,AirTaxi,GeneralAviation,Military_Itin,Civil,Military_Local
1990,APC,0,133,78725,911,113722,626
1990,CCR,2594,4554,131657,796,164902,83
1990,HWD,0,3938,122806,1040,125178,22
1990,LVK,0,672,97072,285,124753,61
1990,OAK,90746,53903,142781,919,113560,92
1990,PAO,0,8,95261,6,145203,18
1990,RHV,0,1,77509,10,130033,0
1990,SFO,317958,78866,30167,2462,10637,0
1990,SJC,97047,54333,114964,570,59566,40
1990,SQL,0,72,98811,74,93432,22
1990,STS,439,10593,99400,681,58028,172
1991,APC,2,158,68823,616,109791,350
1991,CCR,415,5367,127840,833,146031,34
1991,HWD,0,4953,87067,445,100802,32
1991,LVK,0,704,96176,461,136538,197
1991,OAK,109494,49510,139531,692,113487,122
1991,PAO,0,0,94718,0,134292,0
1991,RHV,0,210,69598,2,118639,0
1991,SFO,302381,88682,25195,2380,10575,0
1991,SJC,101435,55180,117197,698,66359,6
1991,SQL,0,254,86040,277,84103,20002
1991,STS,8,10496,84657,809,54967,176
1992,APC,0,70,75276,558,130381,470
1992,CCR,0,122,129014,779,156374,30
1992,HWD,0,4713,88913,299,84720,15
1992,LVK,0,283,99409,985,151543,150
1992,OAK,108625,52277,134888,697,117909,46
1992,PAO,8,7,101633,14,127466,0
1992,RHV,0,0,65852,0,113751,0
1992,SFO,296169,93335,21725,2436,9772,0
1992,SJC,93456,54084,120003,1147,65924,24
1992,SQL,0,241,84607,345,87412,0
1992,STS,0,11037,90549,547,60658,185
1993,APC,0,78,79218,462,123700,272
1993,CCR,0,625,110918,421,116016,61
1993,HWD,0,1712,81007,319,80154,12
1993,LVK,0,582,100979,676,180342,42
1993,OAK,126666,56635,142103,850,130659,42
1993,PAO,0,311,99290,69,109441,38
1993,RHV,0,0,64165,6,108300,0
1993,SFO,287662,103654,23004,2368,9181,0
1993,SJC,91247,37244,108064,888,68517,0
1993,SQL,0,8,69039,12,70935,0
1993,STS,4,8715,90824,539,56350,14
1994,APC,0,55,99752,311,130662,142
1994,CCR,0,1039,108070,537,121313,39
1994,HWD,0,1046,72171,608,80070,204
1994,LVK,0,126,91255,572,151853,76
1994,OAK,136850,56072,139627,710,139468,150
1994,PAO,0,343,100871,237,105004,0
1994,RHV,0,6042,56721,20,102215,20
1994,SFO,288555,106191,24925,2619,10782,0
1994,SJC,107387,20498,100135,851,67023,0
1994,SQL,0,4,65124,19,67908,0
1994,STS,43,8433,90762,702,56842,113
1995,APC,0,35,87617,303,100832,74
1995,CCR,0,1602,101612,260,116311,20
1995,HWD,0,718,63158,135,89865,6
1995,LVK,0,104,78331,408,142634,665
1995,OAK,170495,58033,149264,739,136573,464
1995,PAO,0,181,79322,72,104694,16
1995,RHV,0,0,54980,27,96191,24
1995,SFO,304021,92111,25480,2297,12039,0
1995,SJC,103051,16208,84306,616,59708,0
1995,SQL,0,77,53943,32,65602,252
1995,STS,35,6535,92350,670,54842,156
1996,APC,2,63,75548,149,85265,23
1996,CCR,0,1897,107526,273,115620,8
1996,HWD,0,366,71101,62,108351,0
1996,LVK,0,607,81917,218,146727,36
1996,OAK,165063,60874,159508,846,100628,362
1996,PAO,0,35,80938,17,114963,0
1996,RHV,2,0,55380,17,104490,2
1996,SFO,325181,73664,26588,2604,13662,135
1996,SJC,120715,7623,86773,426,70912,0
1996,SQL,0,82,57055,108,62410,19
1996,STS,26,5609,82879,502,45310,360
1997,APC,0,128,64485,160,79961,67
1997,CCR,0,2422,109995,236,115158,1
1997,HWD,0,383,73649,98,106841,170
1997,LVK,0,2400,87396,72,146422,52
1997,OAK,163697,60146,171922,601,122390,748
1997,PAO,29,1,88255,0,125801,0
1997,RHV,0,62,64266,28,124445,16
1997,SFO,332950,74434,26977,2694,12687,79
1997,SJC,128474,7477,90979,211,79565,531
1997,SQL,0,12,69713,157,79212,82
1997,STS,7,6333,85441,427,46281,56
1998,APC,0,322,69259,125,90754,58
1998,CCR,0,2466,106742,200,106878,85
1998,HWD,0,88,60223,127,93124,56
1998,LVK,0,2553,90251,125,146082,6
1998,OAK,160627,58950,165128,657,121048,203
1998,PAO,319,8,74693,80,114184,20
1998,RHV,0,12,67794,34,145845,0
1998,SFO,332203,71752,25408,2683,0,0
1998,SJC,134310,8535,80404,608,62013,6
1998,SQL,0,2,67101,4,87641,0
1998,STS,9,5965,78997,896,47795,116
1999,APC,0,247,67544,92,91459,83
1999,CCR,0,2695,117453,123,112658,10
1999,HWD,5,605,72104,109,114730,32
1999,LVK,0,1200,92378,186,159247,36
1999,OAK,161426,54677,174075,569,133126,332
1999,PAO,0,14,75495,14,129895,0
1999,RHV,1,12,72900,61,142325,28
1999,SFO,333826,75665,26684,2510,1347,0
1999,SJC,143828,7850,90613,282,62903,4
1999,SQL,0,41,75958,8,93180,31
1999,STS,13,6964,80836,356,47936,394
2000,APC,33,795,62542,146,81478,51
2000,CCR,13,2087,106799,193,92506,67
2000,HWD,0,802,66460,38,94966,20
2000,LVK,0,281,87062,136,147136,6
2000,OAK,148003,42266,150069,403,108260,49
2000,PAO,0,1,71386,0,129742,0
2000,RHV,0,6,77403,29,152451,54
2000,SFO,327715,73534,25797,2176,1329,3
2000,SJC,147060,13852,87605,183,51128,16
2000,SQL,0,10,74592,11,85562,15
2000,STS,14,6721,78728,270,46393,157
2001,APC,3,2096,58691,212,64969,116
2001,CCR,0,2343,76917,198,64174,17
2001,HWD,0,832,63908,208,100780,46
