Year,Operations,Normalized
2022.0,337719,1.0
2023.0,375078,1.1106204402286395
2024.0,399202,1.1820542546010904
2025.0,422859,1.2521026657238243
2026.0,437196,1.2945562971942417
2027.0,446874,1.323212538838507
2028.0,454222,1.34497008556969
2029.0,460405,1.3632782848443337
2030.0,466006,1.3798618103907094
2031.0,471315,1.3955829990729476
2032.0,476480,1.4108764686705781
2033.0,481570,1.425949180030986
2034.0,486626,1.4409184109676993
2035.0,491662,1.4558324523451092
2036.0,492547,1.4584506848530039
2037.0,492489,1.4582789446135516
2038.0,492431,1.4581072043740995
2039.0,492372,1.457932503096036
2040.0,492313,1.4577578018179724
2041.0,492254,1.457583100539909
2042.0,492195,1.4574083992618454
2043.0,492135,1.4572307369451707
2044.0,492075,1.457053074628496
2045.0,492014,1.45687245127321
2046.0,491954,1.4566947889565354
2047.0,491893,1.4565141656012495
2048.0,491832,1.4563335422459636
2049.0,491770,1.4561499578520662
2050.0,491708,1.4559663734581691
